Event,Station,dt_ISO,Latitude,Longitude,Depth,Pressure,Salinity,Temperature,CH4_diss,CH4_std_dev,CH4_eq,N2O_diss,N2O_std_dev,N2O_eq,O2,StationDepth,MLD,Cast,Bottle
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,17.2237502957027,17.359,23.7428,11.6937,31.4542147777914,0.0668149168299613,3.06416175516344,12.3142245772638,0.268811519119803,10.8698463655747,203.451726792816,17.4222575885566,3,2,0
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,15.0954998479236,15.214,23.7428,11.6937,30.2633567861714,1.31977537946129,3.06416175516344,11.8830609624087,0.0131765111567927,10.8698463655747,203.451726792816,17.4222575885566,3,2,1
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,12.2836579875983,12.38,23.663,12.0914,28.0780015985405,0.187088985302229,3.03636006631882,11.5862083013181,0.134764938125821,10.7254244144428,209.417402806494,17.4222575885566,3,2,3
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,9.03024720860778,9.101,23.2566,13.4028,26.0427880741731,1.18532539781001,2.95082332557928,11.5947253848727,0.0681143755427884,10.2769976761147,226.963466387217,17.4222575885566,3,2,5
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,6.9803436394041,7.035,23.0235,14.5737,36.1023505102186,0.285344337138323,2.87527442593002,12.1901941374687,0.0368038113080777,9.89087891118521,258.649956575754,17.4222575885566,3,2,7
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,5.11001195623034,5.15,22.7526,15.5472,43.5252800445525,0.716989578156215,2.81649460688845,12.6690885181603,0.0787205257571759,9.58979527577482,291.613869206113,17.4222575885566,3,2,9
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,1.58560572130701,1.598,22.5819,16.4871,47.6140788984118,0.496648561771203,2.75985726246739,12.8122270045654,0.200501997900064,9.30618612611847,326.896590079097,17.4222575885566,3,2,11
RVCT_20240522_EXRX-cast01,EXRX-cast01,2024-05-22T12:42:29,40.8833333333333,73.7271666666667,21.6398375030544,21.81,23.2637,13.1149,50.5364983780875,0.138362544770452,2.97101424655212,11.7804429262143,0.0619405010576957,10.3784201055931,201.978414151534,21.8384393884824,4,3,0
RVCT_20240522_EXRX-cast01,EXRX-cast01,2024-05-22T12:42:29,40.8833333333333,73.7271666666667,19.9015366782935,20.058,23.2637,13.1149,50.0615822417336,3.7207293017489,2.97101424655212,11.498386607587,0.385358409091871,10.3784201055931,201.978414151534,21.8384393884824,4,3,1
RVCT_20240522_EXRX-cast01,EXRX-cast01,2024-05-22T12:42:29,40.8833333333333,73.7271666666667,15.2949268254221,15.415,23.0966,13.4387,53.6998124443026,3.35642697216964,2.95174339678172,12.0726422468696,0.408860364420301,10.2745622008098,208.618247205667,21.8384393884824,4,3,3
