Event,Station,dt_ISO,Latitude,Longitude,Depth,Pressure,Salinity,Temperature,MLD,CH4_diss,CH4_std_dev,CH4_eq,N2O_diss,N2O_std_dev,N2O_eq,slp_15,k_wt_15_CH4,F_CH4_15,k_wt_15_N2O,F_N2O_15
RVCT_20240522_MID4-cast01,MID4-cast01,2024-05-22T11:51:25,40.9235,73.6558333333333,1.58560572130701,1.598,22.5819,16.4871,3,47.6140788984118,0.496648561771203,2.75985726246739,12.8122270045654,0.200501997900064,9.30618612611847,0.997850011470909,1.02027705984082,46.5078814597042,0.996399137649515,3.57000938035526
RVCT_20240522_EXRX-cast01,EXRX-cast01,2024-05-22T12:42:29,40.8833333333333,73.7271666666667,2.3922952782667,2.411,22.3539,15.9793,4,65.4024482088748,0,2.7966340846112,14.7695210836329,0,9.47637903201163,0.997862254578622,1.12103535677224,71.3173906381641,1.09506792502979,5.91198846034273
RVCT_20240522_MID4-cast03,MID4-cast03,2024-05-22T15:03:58,40.924,73.6545,1.84061125114122,1.855,22.6789,16.6548,4,37.1837106199017,0.956594301547414,2.74744784092017,12.0051371816891,0.347749290372486,9.24968135956568,0.997899029917724,1.1943591048952,41.8011616796061,1.16475267666732,3.28430872470989
RVCT_20240522_MID4-cast05,MID4-cast05,2024-05-22T19:05:24,40.9243333333333,73.6536666666667,1.42783949500529,1.439,22.4626,17.9242,4,52.9519725687392,1.0814722437993,2.67410241168984,13.7885359118456,0.028222323813939,8.88743581668321,0.997967860573297,1.34801968288735,68.8484936827269,1.3093045006377,6.54193256309673
RVCT_20240522_MID4-cast07,MID4-cast07,2024-05-22T22:57:05,40.923,73.6551666666667,1.80092169540565,1.815,22.4762,17.0321,6,56.7768653904731,0.995646450241113,2.72799957224837,13.9591743255906,0.101415295086917,9.14752020798352,0.998030301827937,1.42363702727798,78.1794776297366,1.38467390594874,6.79405210539174
RVCT_20240522_MID4-cast09,MID4-cast09,2024-05-23T02:54:48,40.9236666666667,73.6545,1.71856584268182,1.732,22.6963,16.4862,4,42.323649407053,0.0233973498794891,2.75765802030049,12.6032206371237,0.0839219784730489,9.29999924759793,0.99809235650761,1.33551761043399,53.7050077061184,1.29651864558452,4.3755042263777
RVCT_20240522_MID4-cast11,MID4-cast11,2024-05-23T07:00:11,40.9248333333333,73.6528333333333,1.27999556241275,1.29,22.5016,16.7212,5,52.7160626332922,0,2.74678292318402,13.7684409394461,0,9.23951314595646,0.998165117156431,1.36746361016648,69.4324125089818,1.32927366757875,6.13948682339981
RVCT_20240522_MID4-cast13,MID4-cast13,2024-05-23T11:03:40,40.9235,73.6543333333333,1.55782299845999,1.57,22.6927,16.0192,3,45.8062796008303,0,2.7872982692636,12.7750561879581,0,9.44438139268988,0.998264650319024,1.23908713219313,54.1796824510629,1.20088388216786,4.08498723230037
RVCT_20240522_EXR1-cast01,EXR1-cast01,2024-05-23T12:17:45,40.872,73.7368333333333,1.73344943297857,1.747,22.3787,16.1757,3,86.499292279405,1.0901767252347,2.78358495804334,16.2652597729035,0.282513083473775,9.41368214727571,0.998299072633428,1.22470789031563,104.177391521641,1.18703289110737,8.28278786890329
RVCT_20240522_EXRX-cast02,EXRX-cast02,2024-05-23T12:59:25,40.883,73.7291666666667,1.79992945641357,1.814,22.8811,14.4963,7,67.5731492567068,1.52763225429026,2.8834579849145,14.220981276934,0.282857046361207,9.92538900290914,0.998320210180976,1.33873791236135,88.0604525641263,1.30241018783669,5.71045831968382
